do_we_have_it,samplename,samplenumber,season_yr,season_yr_cond,score,cont,total,test,material,type,insulated,no_glass,p_width,p_height,thicktopat,glass_thick,total_thick,pat_color,uv,pat_density,first_surf,sec_surf,random,hor,vert,pat_width,dots,minhd,maxhd,avehd,minvd,maxvd,avevd,spectraldata,notes,x37,discrepancies,x39,
y,Pilkington,Two,F19,F19,0.561,46.002,82,35.998,G,1,N,1,50,100,NA,NA,0.57,black,N,O,1,N,N,Y,N,1.5,Y,4.5,4.5,4.5,0.5,0.5,0.5,n,Horizontal lines made out of dots. Same pattern as Pilkington Two but black,NA,NA,NA,
y,PNR,CollidescapeWhite,F16,F16,0.80952380952381,36,44,8,G,1,N,1,49.7,100.4,0,5.8,5.8,white,N,O,1,N,N,Y,Y,49.7,N?,NA,NA,NA,NA,NA,NA,n,Solid pattern with transparent 1.5 mm dots,NA,NA,NA,
y,PNR,MirroredBlack,F16,F16,0.877551020408163,45,51,6,G,1,N,1,50,100,5.7,5.7,5.7,black,N,O,2,N,N,Y,Y,50,N,NA,NA,NA,NA,NA,NA,n,Solid pattern,NA,NA,NA,
y,PNR,HalfFelt,F18,F18,0.593220338983051,35,59,24,G,1,N,1,50,100,0,NA,NA,black,N,O,1,NA,N,Y,Y,NA,N,NA,NA,NA,NA,NA,NA,n,black felt covering half of pane,NA,NA,NA,
y,Skyline Design,SampleOne,F19,F19,0.667,70.035,105,34.965,G,1,N,1,50,100,NA,NA,0.56,white,N,O,1,N,N,Y,N,0.35,N,4.75,4.75,4.75,NA,NA,NA,n,NA,NA,NA,NA,
y,St. Gobain,TwoInchTape,F19,F19,0.589,32.984,56,23.016,G,1,N,1,50,100,NA,NA,0.56,UV,Y,T,1,N,N,Y,N,5.29,N,5,5,5,NA,NA,NA,n,UV tape applied to control glass,NA,NA,NA,
y,St. Louis Zoo,1inVertical,F16,F16,0.875,22,25,3,G,1,N,1,50,100,0,5.8,5.8,"white, black, grey",N,O,1,N,N,N,Y,0.31,N,NA,NA,NA,2.21,2.21,2.21,n,NA,NA,NA,NA,
y,St. Louis Zoo,5cmHorizontal,F16,F16,0.863636363636364,20,23,3,G,1,N,1,50,100,0,5.6,5.6,"white, black, grey",N,O,1,N,N,Y,N,0.35,N,4.75,4.75,4.75,NA,NA,NA,n,NA,NA,NA,NA,
y,St. Louis Zoo,5cmVertical,F16,F16,0.777777777777778,22,28,6,G,1,N,1,49.8,100.4,0,5.6,5.6,"white, black, grey",N,O,1,N,N,N,Y,0.3,N,NA,NA,NA,4.77,4.77,4.77,n,NA,NA,NA,NA,
y,Guardian,G3-N20-Dots,S21,NA,NA,NA,NA,G,1,N,1,50,100,0,4.8,4.8,UV,Y,T,1,N,N,Y,Y,0.8,Y,30,43.7,36.85,38.8,41.3,40.05,NA,n,NA,NA,NA,NA,
y,St. Gobain,STG2021/1,S21,NA,NA,NA,NA,G,1,Y,2,50,100,0,4.5,27,UV,Y,T,1,N,N,N,Y,46.5,N,NA,NA,NA,0,49.5,24.75,NA,n,NA,NA,NA,NA,
y,Arnold,Arnold 63-S21,S21,NA,NA,NA,NA,G,1,Y,4,50,100,6.7,4.7,36.4,UV,Y,T,NA,1,Y,Y,Y,0.8,N,2.61,5.56,4.085,1.04,4.21,2.625,NA,n,NA,NA,NA,NA,
y,Penn State University,PSU BFC #1,S21,NA,NA,NA,NA,G,1,n,1,50,100,0,4.6,4.6,UV,Y,T,1,N,N,N,Y,48.5,N,NA,NA,NA,28.5,47.1,37.8,NA,n,NA,NA,NA,NA,
